symbol,scan_date,next_date,regime,eod_score,est_5m_score,vol_surge,price_move_pct,gap_up_pct,raw_r,realized_r,hit_stop,atr,o_nd,h_nd,l_nd,c_nd,variant_id,sector
DIXON,2025-12-30,2025-12-31,NEUTRAL,80.0,80.0,1.323,2.075,0.756,1.07,0.698,0,475.78,11856.0,12239.0,11755.0,12102.0,V3_STRICT_5M_SCORE,TECH
ONGC,2026-01-05,2026-01-06,BULL,80.0,80.0,1.329,1.596,0.0,1.3,0.847,0,4.27,232.62,236.79,232.62,236.33,V3_STRICT_5M_SCORE,ENERGY
TCS,2026-01-05,2026-01-06,BULL,80.0,80.0,1.416,1.427,-0.19,1.61,1.048,0,42.39,3093.55,3144.82,3088.73,3137.69,V3_STRICT_5M_SCORE,IT
HCLTECH,2026-01-05,2026-01-06,BULL,80.0,80.0,1.317,1.0,-0.454,1.19,0.771,0,27.85,1543.19,1567.97,1540.3,1558.62,V3_STRICT_5M_SCORE,IT
ABB,2026-01-05,2026-01-06,BULL,80.0,80.0,1.615,1.083,0.0,1.39,0.904,0,82.11,5147.45,5233.1,5139.48,5203.22,V3_STRICT_5M_SCORE,MFNG
INFY,2026-01-13,2026-01-14,BEAR,80.0,80.0,1.414,0.743,-0.688,1.37,0.891,0,27.62,1554.36,1582.75,1549.57,1565.91,V3_STRICT_5M_SCORE,IT
IDFCFIRSTB,2026-01-21,2026-01-22,BEAR,80.0,80.0,1.641,2.683,0.601,1.89,1.227,0,1.75,81.76,84.23,81.66,83.95,V3_STRICT_5M_SCORE,BANK
BRITANNIA,2026-01-21,2026-01-22,BEAR,80.0,80.0,1.335,1.402,0.819,1.59,1.03,0,105.13,5850.0,5975.0,5819.0,5932.0,V3_STRICT_5M_SCORE,FMCG
BPCL,2026-01-27,2026-01-28,BEAR,80.0,85.0,2.197,0.513,0.867,0.78,0.189,0,8.99,350.61,355.86,347.59,352.41,V3_STRICT_5M_SCORE,ENERGY
IOC,2026-01-27,2026-01-28,BEAR,80.0,80.0,1.693,2.421,0.063,1.91,1.242,0,3.45,157.02,161.96,156.57,160.82,V3_STRICT_5M_SCORE,ENERGY
POWERGRID,2026-01-27,2026-01-28,BEAR,80.0,80.0,1.304,2.283,-0.138,1.85,1.199,0,4.82,251.18,257.86,251.18,256.92,V3_STRICT_5M_SCORE,ENERGY
M&M,2026-01-27,2026-01-28,BEAR,80.0,80.0,1.836,2.078,-0.427,1.3,0.845,0,79.06,3343.88,3420.97,3340.92,3413.35,V3_STRICT_5M_SCORE,AUTO
ITC,2026-01-27,2026-01-28,BEAR,80.0,80.0,1.44,0.375,0.408,0.78,0.189,0,6.13,305.07,308.65,304.5,306.22,V3_STRICT_5M_SCORE,FMCG
HAL,2026-01-27,2026-01-28,BEAR,80.0,85.0,2.162,5.812,0.494,3.66,1.875,0,97.11,4333.99,4600.38,4325.56,4585.9,V3_STRICT_5M_SCORE,INFRA
M&M,2026-01-29,2026-01-30,NEUTRAL,80.0,80.0,1.898,4.532,-2.996,2.64,1.716,0,84.69,3248.88,3416.52,3248.68,3396.14,V3_STRICT_5M_SCORE,AUTO
ITC,2026-01-29,2026-01-30,NEUTRAL,80.0,85.0,2.062,1.051,0.063,1.37,0.888,0,5.91,303.97,310.03,301.73,307.17,V3_STRICT_5M_SCORE,FMCG
HINDUNILVR,2026-01-29,2026-01-30,NEUTRAL,80.0,80.0,1.513,1.367,-0.493,1.27,0.824,0,45.81,2317.43,2360.99,2316.44,2349.11,V3_STRICT_5M_SCORE,FMCG
NESTLEIND,2026-01-29,2026-01-30,NEUTRAL,80.0,85.0,5.53,3.608,-0.148,3.0,1.949,0,23.59,1272.97,1326.03,1270.01,1318.9,V3_STRICT_5M_SCORE,FMCG
TITAN,2026-01-29,2026-01-30,NEUTRAL,80.0,80.0,1.844,0.821,0.135,0.86,0.231,0,77.15,3932.1,3981.93,3897.01,3964.39,V3_STRICT_5M_SCORE,CONS
TRENT,2026-02-04,2026-02-05,BULL,80.0,85.0,3.736,3.974,-0.977,1.44,0.933,1,104.47,2645.02,2757.53,2571.53,2750.14,V3_STRICT_5M_SCORE,CONS
KAYNES,2026-02-06,2026-02-09,BULL,80.0,80.0,1.575,4.746,1.749,1.35,0.881,0,201.06,3765.0,3969.3,3757.8,3943.7,V3_STRICT_5M_SCORE,TECH
INFY,2026-02-12,2026-02-13,BULL,80.0,85.0,3.547,5.812,-6.645,2.5,1.625,0,43.54,1266.49,1348.13,1254.36,1340.1,V3_STRICT_5M_SCORE,IT
TCS,2026-02-12,2026-02-13,BULL,80.0,85.0,2.28,4.147,-6.003,2.1,1.368,0,79.59,2536.51,2662.11,2536.51,2641.7,V3_STRICT_5M_SCORE,IT
HCLTECH,2026-02-12,2026-02-13,BULL,80.0,85.0,2.04,2.263,-3.597,1.69,1.098,1,41.25,1382.16,1434.41,1355.93,1413.43,V3_STRICT_5M_SCORE,IT
WIPRO,2026-02-12,2026-02-13,BULL,80.0,80.0,1.409,1.633,-3.848,1.17,0.763,0,6.62,210.65,216.48,209.01,214.09,V3_STRICT_5M_SCORE,IT
TECHM,2026-02-12,2026-02-13,BULL,80.0,85.0,3.033,3.494,-3.514,1.79,1.166,0,47.37,1445.05,1508.79,1427.31,1495.54,V3_STRICT_5M_SCORE,IT
PERSISTENT,2026-02-12,2026-02-13,BULL,80.0,85.0,2.506,5.163,-4.439,2.14,1.392,0,205.47,5210.0,5540.0,5210.0,5479.0,V3_STRICT_5M_SCORE,IT
MPHASIS,2026-02-12,2026-02-13,BULL,80.0,85.0,2.734,2.965,-3.101,1.72,1.119,0,85.66,2325.26,2435.89,2293.71,2394.21,V3_STRICT_5M_SCORE,IT
INFY,2026-02-16,2026-02-17,NEUTRAL,80.0,80.0,1.461,1.547,0.322,1.7,1.102,0,46.96,1340.98,1400.69,1338.05,1361.73,V3_STRICT_5M_SCORE,IT
WIPRO,2026-02-16,2026-02-17,NEUTRAL,80.0,80.0,1.425,1.139,0.0,1.19,0.774,0,6.86,213.26,219.39,212.26,215.69,V3_STRICT_5M_SCORE,IT
BPCL,2026-02-20,2026-02-23,NEUTRAL,80.0,80.0,1.856,0.568,1.01,0.97,0.284,0,9.22,370.0,376.7,366.65,372.1,V3_STRICT_5M_SCORE,ENERGY
ICICIBANK,2026-02-24,2026-02-25,BEAR,80.0,80.0,1.41,0.625,0.505,0.94,0.271,0,22.08,1391.8,1407.4,1388.2,1400.5,V3_STRICT_5M_SCORE,BANK
HCLTECH,2026-02-24,2026-02-25,BEAR,80.0,80.0,1.417,1.712,1.18,1.04,0.678,0,45.19,1316.11,1351.46,1315.14,1338.64,V3_STRICT_5M_SCORE,IT
MARUTI,2026-02-24,2026-02-25,BEAR,80.0,80.0,1.35,1.413,-0.442,1.18,0.77,0,307.18,14860.0,15133.0,14837.0,15070.0,V3_STRICT_5M_SCORE,AUTO
HEROMOTOCO,2026-02-24,2026-02-25,BEAR,80.0,85.0,2.254,4.11,0.0,3.11,1.875,0,141.03,5511.0,5840.0,5500.5,5737.5,V3_STRICT_5M_SCORE,AUTO
TRENT,2026-02-26,2026-02-27,NEUTRAL,80.0,80.0,1.647,1.128,-0.0,0.81,0.206,0,80.84,2566.87,2616.13,2556.22,2595.83,V3_STRICT_5M_SCORE,CONS
DIXON,2026-02-26,2026-02-27,NEUTRAL,80.0,85.0,2.636,4.176,-0.099,1.7,1.103,0,403.82,10106.0,10620.0,10085.0,10528.0,V3_STRICT_5M_SCORE,TECH
RELIANCE,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.834,2.683,0.602,1.99,1.293,0,30.62,1346.87,1392.56,1346.87,1383.01,V3_STRICT_5M_SCORE,ENERGY
BPCL,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.526,1.037,0.07,0.75,-1.0,1,10.46,356.65,362.5,351.1,360.35,V3_STRICT_5M_SCORE,ENERGY
IOC,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.702,0.316,0.329,1.21,0.79,0,4.79,168.87,173.24,167.17,169.4,V3_STRICT_5M_SCORE,ENERGY
ADANIPORTS,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.57,3.6,0.892,1.73,1.122,0,44.84,1441.13,1499.18,1441.13,1493.01,V3_STRICT_5M_SCORE,INFRA
HINDALCO,2026-03-04,2026-03-05,BEAR,80.0,85.0,3.285,2.683,0.89,2.49,1.616,0,28.54,925.17,978.4,921.59,949.99,V3_STRICT_5M_SCORE,METAL
DLF,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.928,2.397,0.422,1.29,0.84,0,18.24,564.36,582.04,564.36,577.89,V3_STRICT_5M_SCORE,REALTY
HAL,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.314,0.563,-0.175,0.88,0.24,0,119.65,3870.0,3949.0,3840.9,3891.8,V3_STRICT_5M_SCORE,INFRA
LT,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.479,2.918,1.071,1.76,1.143,0,111.65,3886.24,4033.5,3871.09,3999.63,V3_STRICT_5M_SCORE,INFRA
RELIANCE,2026-03-06,2026-03-09,BEAR,100.0,85.0,1.468,3.564,-2.121,2.23,1.446,0,32.44,1368.67,1422.82,1363.69,1417.45,V3_STRICT_5M_SCORE,ENERGY
NESTLEIND,2026-03-06,2026-03-09,BEAR,100.0,85.0,1.479,0.717,-2.028,0.76,0.182,0,27.07,1221.13,1236.66,1211.58,1229.89,V3_STRICT_5M_SCORE,FMCG
BAJFINANCE,2026-03-06,2026-03-09,BEAR,80.0,80.0,1.334,1.763,-2.989,1.09,0.707,1,23.5,916.17,935.35,903.5,932.32,V3_STRICT_5M_SCORE,FINSERV
IOC,2026-03-06,2026-03-09,BEAR,80.0,80.0,1.826,2.038,-6.332,1.12,0.728,0,4.88,156.03,160.13,154.35,159.21,V3_STRICT_5M_SCORE,ENERGY
ADANIPORTS,2026-03-06,2026-03-09,BEAR,80.0,85.0,2.022,1.16,-4.907,0.91,0.254,0,45.45,1399.1,1430.07,1399.1,1415.34,V3_STRICT_5M_SCORE,INFRA
GODREJPROP,2026-03-06,2026-03-09,BEAR,80.0,80.0,1.765,2.179,-3.407,0.82,0.211,0,67.56,1602.75,1644.45,1582.85,1637.68,V3_STRICT_5M_SCORE,REALTY
BRITANNIA,2026-03-12,2026-03-13,BEAR,80.0,85.0,2.135,1.017,-0.639,1.38,0.9,0,126.19,5750.0,5881.0,5727.0,5808.5,V3_STRICT_5M_SCORE,FMCG
FEDERALBNK,2026-03-16,2026-03-17,BEAR,80.0,80.0,1.26,0.233,-0.06,0.88,0.238,0,29.71,2129.52,2149.03,2129.52,2134.47,V3_STRICT_5M_SCORE,BANK
MARUTI,2026-03-16,2026-03-17,BEAR,80.0,80.0,1.82,1.423,0.259,0.98,0.291,0,420.9,12790.0,13100.0,12686.0,12972.0,V3_STRICT_5M_SCORE,AUTO
HCLTECH,2026-03-20,2026-03-23,NEUTRAL,80.0,85.0,2.006,3.331,-1.417,1.68,1.089,0,38.79,1277.06,1325.82,1272.4,1319.61,V3_STRICT_5M_SCORE,IT
TECHM,2026-03-20,2026-03-23,NEUTRAL,80.0,80.0,1.91,1.318,-1.358,1.46,0.947,0,43.33,1331.4,1378.77,1323.21,1348.94,V3_STRICT_5M_SCORE,IT
PERSISTENT,2026-03-20,2026-03-23,NEUTRAL,80.0,80.0,1.782,0.761,-0.592,0.74,0.168,0,201.94,4688.8,4800.4,4639.3,4724.5,V3_STRICT_5M_SCORE,IT
AXISBANK,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.255,1.842,0.612,1.52,0.986,0,34.26,1199.08,1238.05,1197.08,1221.16,V3_STRICT_5M_SCORE,BANK
KOTAKBANK,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.957,0.583,0.572,1.27,0.824,1,9.5,368.31,377.35,362.37,370.46,V3_STRICT_5M_SCORE,BANK
BAJFINANCE,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.292,2.401,1.537,1.17,0.761,0,30.28,856.78,883.37,848.09,877.36,V3_STRICT_5M_SCORE,FINSERV
HCLTECH,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.364,2.47,-1.842,2.08,1.353,0,39.45,1309.31,1370.89,1309.31,1341.65,V3_STRICT_5M_SCORE,IT
BHARTIARTL,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.409,1.152,0.66,1.09,0.708,0,43.06,1814.0,1849.2,1810.1,1834.9,V3_STRICT_5M_SCORE,TELECOM
TATAMOTORS,2026-03-26,2026-03-27,BEAR,100.0,90.0,5.951,0.376,-1.355,0.69,-1.0,1,21.04,421.24,432.12,402.56,422.83,V3_STRICT_5M_SCORE,AUTO
PERSISTENT,2026-03-26,2026-03-27,BEAR,80.0,80.0,1.267,0.406,-0.99,0.74,0.168,0,194.31,4880.0,4987.4,4851.1,4899.8,V3_STRICT_5M_SCORE,IT
TCS,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.278,2.712,-0.922,1.69,1.098,0,65.0,2341.24,2423.57,2331.14,2404.73,V3_STRICT_5M_SCORE,IT
SUNPHARMA,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.435,1.718,-3.674,1.2,0.779,1,38.82,1660.65,1695.56,1615.77,1689.17,V3_STRICT_5M_SCORE,PHARMA
DRREDDY,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.826,2.509,-1.827,1.3,0.845,1,35.77,1180.02,1214.9,1160.14,1209.63,V3_STRICT_5M_SCORE,PHARMA
DLF,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.445,4.242,-1.717,1.59,1.033,1,19.44,494.79,517.95,483.33,515.77,V3_STRICT_5M_SCORE,REALTY
TRENT,2026-04-03,2026-04-06,BEAR,100.0,90.0,4.43,5.466,2.374,2.23,1.45,0,93.33,2419.69,2575.86,2419.69,2551.96,V3_STRICT_5M_SCORE,CONS
KAYNES,2026-04-03,2026-04-06,BEAR,100.0,85.0,1.448,4.47,0.28,1.3,0.845,0,180.5,3547.9,3723.9,3460.0,3706.5,V3_STRICT_5M_SCORE,TECH
GODREJPROP,2026-04-03,2026-04-06,BEAR,80.0,80.0,1.916,4.463,0.577,1.52,0.99,0,65.33,1509.7,1584.34,1486.61,1577.08,V3_STRICT_5M_SCORE,REALTY
HEROMOTOCO,2026-04-09,2026-04-10,BULL,80.0,80.0,1.467,3.2,0.246,1.37,0.888,0,183.03,5297.0,5484.5,5295.5,5466.5,V3_STRICT_5M_SCORE,AUTO
KOTAKBANK,2026-05-05,2026-05-06,NEUTRAL,100.0,85.0,1.704,0.695,0.714,0.85,-1.0,1,9.36,373.36,379.35,365.02,375.95,V3_STRICT_5M_SCORE,BANK
ICICIGI,2026-05-05,2026-05-06,NEUTRAL,100.0,90.0,2.222,1.395,0.456,1.15,0.749,0,43.34,1778.25,1815.71,1768.49,1803.05,V3_STRICT_5M_SCORE,FINSERV
ICICIBANK,2026-05-05,2026-05-06,NEUTRAL,80.0,80.0,1.543,1.387,0.855,1.02,0.663,0,27.19,1262.0,1282.8,1252.1,1279.5,V3_STRICT_5M_SCORE,BANK
SBIN,2026-05-05,2026-05-06,NEUTRAL,80.0,80.0,1.296,2.239,1.142,1.6,1.038,0,23.86,1053.02,1081.6,1042.41,1076.59,V3_STRICT_5M_SCORE,BANK
TITAN,2026-05-07,2026-05-08,BULL,80.0,85.0,5.828,4.52,0.151,3.95,2.57,1,97.82,4299.89,4589.94,4199.62,4494.25,V3_STRICT_5M_SCORE,CONS
BHARTIARTL,2026-05-11,2026-05-12,BEAR,80.0,80.0,1.37,0.303,-0.472,0.82,0.212,0,40.47,1751.5,1776.5,1751.5,1756.8,V3_STRICT_5M_SCORE,TELECOM
DLF,2026-05-13,2026-05-14,BEAR,100.0,85.0,1.966,1.949,-0.357,1.3,0.847,1,16.51,565.01,581.15,546.93,576.02,V3_STRICT_5M_SCORE,REALTY
BHARTIARTL,2026-05-13,2026-05-14,BEAR,100.0,90.0,2.347,3.489,1.721,2.27,1.475,1,40.66,1820.0,1889.2,1797.3,1883.5,V3_STRICT_5M_SCORE,TELECOM
HDFCBANK,2026-05-13,2026-05-14,BEAR,80.0,80.0,1.459,2.47,0.187,2.06,1.341,0,17.36,738.78,765.64,734.85,757.03,V3_STRICT_5M_SCORE,BANK
TECHM,2026-05-15,2026-05-18,BEAR,80.0,85.0,3.411,4.862,-0.496,2.44,1.584,0,39.46,1329.16,1401.28,1329.16,1393.78,V3_STRICT_5M_SCORE,IT
IOC,2026-05-19,2026-05-20,NEUTRAL,80.0,80.0,1.445,2.502,-0.244,1.29,0.839,0,3.98,134.67,138.52,133.0,138.04,V3_STRICT_5M_SCORE,ENERGY
EICHERMOT,2026-05-21,2026-05-22,NEUTRAL,80.0,80.0,1.268,0.816,0.479,0.88,0.238,0,176.54,6925.0,7041.0,6908.5,6981.5,V3_STRICT_5M_SCORE,AUTO
COALINDIA,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.73,3.516,-0.295,2.1,1.367,0,12.96,456.55,477.0,456.55,472.6,V3_STRICT_5M_SCORE,ENERGY
TCS,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.548,0.587,1.111,1.33,0.867,0,50.68,2271.55,2322.27,2267.57,2284.87,V3_STRICT_5M_SCORE,IT
HCLTECH,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.982,0.42,0.532,1.18,0.766,0,25.43,1178.07,1200.54,1178.07,1183.02,V3_STRICT_5M_SCORE,IT
DIVISLAB,2026-06-02,2026-06-03,BEAR,80.0,80.0,1.444,0.867,-0.199,0.77,0.183,0,146.94,6520.0,6604.5,6460.0,6576.5,V3_STRICT_5M_SCORE,PHARMA
MARUTI,2026-06-02,2026-06-03,BEAR,80.0,80.0,1.687,0.231,-0.061,0.86,0.229,0,298.32,13014.0,13206.0,12911.0,13044.0,V3_STRICT_5M_SCORE,AUTO
CHOLAFIN,2026-06-04,2026-06-05,BEAR,100.0,85.0,1.986,1.123,0.034,1.75,1.137,0,47.6,1485.92,1548.39,1479.52,1502.61,V3_STRICT_5M_SCORE,FINSERV
SBIN,2026-06-08,2026-06-09,BEAR,100.0,85.0,1.434,1.797,0.311,1.45,0.942,0,22.09,985.0,1009.0,983.0,1002.7,V3_STRICT_5M_SCORE,BANK
ICICIBANK,2026-06-08,2026-06-09,BEAR,80.0,80.0,1.492,1.594,0.384,1.39,0.902,0,23.94,1255.0,1279.9,1252.7,1275.0,V3_STRICT_5M_SCORE,BANK
DIVISLAB,2026-06-08,2026-06-09,BEAR,80.0,85.0,2.911,3.336,0.215,2.3,1.496,0,147.71,6535.0,6790.0,6535.0,6753.0,V3_STRICT_5M_SCORE,PHARMA
JSWSTEEL,2026-06-10,2026-06-11,BEAR,80.0,80.0,1.294,1.288,-0.299,1.37,0.888,0,26.58,1258.77,1286.01,1253.8,1274.98,V3_STRICT_5M_SCORE,METAL
M&M,2026-06-12,2026-06-15,BULL,80.0,80.0,1.686,1.434,1.548,1.3,0.846,0,78.09,3057.89,3134.09,3046.01,3101.73,V3_STRICT_5M_SCORE,AUTO
HAL,2026-06-12,2026-06-15,BULL,80.0,80.0,1.382,1.174,1.019,1.41,0.919,0,102.76,4235.0,4344.0,4202.6,4284.7,V3_STRICT_5M_SCORE,INFRA
HINDALCO,2026-06-16,2026-06-17,BULL,80.0,80.0,1.6,2.325,0.265,1.14,0.738,0,31.07,979.89,1006.35,966.16,1002.67,V3_STRICT_5M_SCORE,METAL
KAYNES,2026-06-16,2026-06-17,BULL,80.0,80.0,1.593,1.732,0.485,0.99,0.297,0,124.73,3193.0,3286.0,3185.7,3248.3,V3_STRICT_5M_SCORE,TECH
TCS,2026-06-18,2026-06-19,BULL,80.0,85.0,3.613,0.95,-4.461,0.79,-1.0,1,55.13,2093.52,2126.34,2048.67,2113.41,V3_STRICT_5M_SCORE,IT
WIPRO,2026-06-18,2026-06-19,BULL,80.0,80.0,1.486,2.286,-3.325,1.32,0.855,0,4.78,176.76,181.48,174.89,180.8,V3_STRICT_5M_SCORE,IT
TECHM,2026-06-18,2026-06-19,BULL,80.0,85.0,2.94,4.415,-6.749,2.16,1.402,0,40.5,1315.81,1381.3,1309.96,1373.9,V3_STRICT_5M_SCORE,IT
MARUTI,2026-06-24,2026-06-25,NEUTRAL,80.0,85.0,2.408,2.897,0.83,2.65,1.721,0,278.72,13225.18,13778.62,13193.5,13608.33,V3_STRICT_5M_SCORE,AUTO
KAYNES,2026-06-24,2026-06-25,NEUTRAL,80.0,85.0,2.717,1.231,0.684,1.75,1.137,0,122.71,3225.0,3386.0,3212.0,3264.7,V3_STRICT_5M_SCORE,TECH
BRITANNIA,2026-06-30,2026-07-01,NEUTRAL,100.0,85.0,1.765,2.244,0.0,2.09,1.355,0,82.81,5146.5,5276.0,5115.0,5262.0,V3_STRICT_5M_SCORE,FMCG
KOTAKBANK,2026-06-30,2026-07-01,NEUTRAL,80.0,80.0,1.487,0.78,1.3,0.7,-1.0,1,7.67,396.67,400.71,392.57,399.76,V3_STRICT_5M_SCORE,BANK
HINDUNILVR,2026-06-30,2026-07-01,NEUTRAL,80.0,85.0,2.04,2.273,0.722,1.95,1.266,0,38.67,2133.5,2190.0,2120.2,2182.0,V3_STRICT_5M_SCORE,FMCG
DABUR,2026-06-30,2026-07-01,NEUTRAL,80.0,85.0,5.609,5.167,0.166,4.09,3.0,0,7.75,417.48,441.28,417.24,439.05,V3_STRICT_5M_SCORE,FMCG
MPHASIS,2026-07-02,2026-07-03,BULL,80.0,85.0,2.344,1.127,1.14,1.14,0.741,0,68.3,2211.71,2270.14,2208.78,2236.64,V3_STRICT_5M_SCORE,IT
KOTAKBANK,2026-07-08,2026-07-09,BEAR,80.0,80.0,1.477,1.521,0.378,1.03,0.669,0,8.34,370.86,377.3,367.77,376.5,V3_STRICT_5M_SCORE,BANK
RELIANCE,2026-07-08,2026-07-09,BEAR,80.0,80.0,1.256,0.211,0.094,1.12,0.727,0,23.13,1277.1,1296.5,1274.2,1279.8,V3_STRICT_5M_SCORE,ENERGY
TCS,2026-07-10,2026-07-13,NEUTRAL,80.0,85.0,2.663,5.133,0.29,2.84,1.848,0,60.58,2063.68,2192.88,2053.84,2169.6,V3_STRICT_5M_SCORE,IT
SBIN,2026-07-14,2026-07-15,NEUTRAL,80.0,80.0,1.403,1.438,0.01,1.41,0.915,0,19.42,1015.5,1036.0,1013.7,1030.1,V3_STRICT_5M_SCORE,BANK
BPCL,2026-07-14,2026-07-15,NEUTRAL,80.0,80.0,1.376,1.176,0.213,0.88,0.242,0,7.77,306.0,311.15,306.0,309.6,V3_STRICT_5M_SCORE,ENERGY
POWERGRID,2026-07-16,2026-07-17,NEUTRAL,100.0,85.0,1.391,0.997,0.0,0.96,0.281,0,4.99,280.75,284.35,279.65,283.55,V3_STRICT_5M_SCORE,ENERGY
AXISBANK,2026-07-16,2026-07-17,NEUTRAL,80.0,85.0,2.033,1.645,-0.046,1.3,0.844,0,26.7,1307.0,1333.0,1305.0,1328.5,V3_STRICT_5M_SCORE,BANK
RELIANCE,2026-07-16,2026-07-17,NEUTRAL,80.0,80.0,1.512,2.092,0.262,1.83,1.19,0,22.07,1300.0,1330.3,1296.1,1327.2,V3_STRICT_5M_SCORE,ENERGY
WIPRO,2026-07-16,2026-07-17,NEUTRAL,80.0,80.0,1.452,1.412,-2.357,0.91,0.256,0,3.97,173.55,176.26,173.55,176.0,V3_STRICT_5M_SCORE,IT
JSWSTEEL,2026-07-16,2026-07-17,NEUTRAL,80.0,85.0,2.136,1.335,0.0,1.26,0.817,0,24.3,1221.0,1243.9,1218.0,1237.3,V3_STRICT_5M_SCORE,METAL
AXISBANK,2026-07-20,2026-07-21,NEUTRAL,80.0,80.0,1.811,1.06,-0.876,0.99,0.295,0,30.55,1245.0,1267.7,1244.5,1258.2,V3_STRICT_5M_SCORE,BANK
DRREDDY,2026-07-22,2026-07-23,NEUTRAL,80.0,80.0,1.995,5.931,-6.916,3.13,2.031,0,30.12,1101.0,1171.6,1101.0,1166.3,V3_STRICT_5M_SCORE,PHARMA
HEROMOTOCO,2026-07-22,2026-07-23,NEUTRAL,80.0,85.0,2.908,3.744,-0.0,2.85,1.853,0,97.35,4914.81,5122.94,4907.91,5098.8,V3_STRICT_5M_SCORE,AUTO
ITC,2026-07-22,2026-07-23,NEUTRAL,80.0,80.0,1.768,0.482,-0.303,1.32,0.861,0,4.08,279.95,284.0,279.65,281.3,V3_STRICT_5M_SCORE,FMCG
CHOLAFIN,2026-07-24,2026-07-27,BEAR,80.0,80.0,1.742,2.362,1.137,1.76,1.141,0,45.95,1744.0,1804.5,1743.8,1785.2,V3_STRICT_5M_SCORE,FINSERV
LUPIN,2026-07-24,2026-07-27,BEAR,80.0,80.0,1.528,1.645,0.021,1.54,1.002,0,52.84,2371.0,2432.1,2368.1,2410.0,V3_STRICT_5M_SCORE,PHARMA
HINDUNILVR,2026-07-28,2026-07-29,BEAR,80.0,85.0,2.485,3.282,1.374,2.05,1.335,0,47.08,2050.5,2123.0,2047.0,2117.8,V3_STRICT_5M_SCORE,FMCG
DABUR,2026-07-28,2026-07-29,BEAR,80.0,80.0,1.258,1.474,0.659,1.28,0.832,0,8.23,427.4,435.3,427.0,433.7,V3_STRICT_5M_SCORE,FMCG
TRENT,2026-07-28,2026-07-29,BEAR,80.0,80.0,1.256,2.218,0.317,1.28,0.834,0,72.85,2940.0,3010.1,2916.5,3005.2,V3_STRICT_5M_SCORE,CONS
LT,2026-07-28,2026-07-29,BEAR,80.0,80.0,1.647,0.924,1.654,1.71,1.114,0,64.44,3895.4,3978.2,3891.1,3931.4,V3_STRICT_5M_SCORE,INFRA
KAYNES,2026-07-28,2026-07-29,BEAR,80.0,85.0,8.396,11.238,1.342,5.42,1.875,0,101.79,3271.0,3685.0,3270.2,3638.6,V3_STRICT_5M_SCORE,TECH
ADANIPORTS,2026-07-30,2026-07-31,BULL,80.0,85.0,2.016,1.344,0.595,1.11,0.719,1,41.1,1674.0,1708.1,1650.0,1696.5,V3_STRICT_5M_SCORE,INFRA
BEL,2026-07-30,2026-07-31,BULL,80.0,80.0,1.275,0.74,0.026,0.99,0.293,0,7.57,384.48,390.07,384.48,387.32,V3_STRICT_5M_SCORE,INFRA
RELIANCE,2026-08-05,2026-08-06,BULL,80.0,80.0,1.813,3.113,0.391,2.4,1.563,0,22.29,1285.0,1325.2,1281.2,1325.0,V3_STRICT_5M_SCORE,ENERGY
BHARTIARTL,2026-08-11,2026-08-12,NEUTRAL,80.0,80.0,1.791,1.907,-0.345,1.42,0.922,0,34.21,1908.6,1945.0,1901.3,1945.0,V3_STRICT_5M_SCORE,TELECOM
BPCL,2026-08-13,2026-08-14,NEUTRAL,80.0,80.0,1.76,1.461,-0.048,0.9,0.25,0,6.82,314.85,319.45,314.05,319.45,V3_STRICT_5M_SCORE,ENERGY
ADANIENT,2026-08-13,2026-08-14,NEUTRAL,80.0,80.0,1.699,2.364,0.003,1.62,1.05,0,68.5,2965.0,3048.0,2950.0,3035.1,V3_STRICT_5M_SCORE,ENERGY
ITC,2026-08-19,2026-08-20,BEAR,80.0,85.0,2.492,1.286,0.431,1.05,0.683,1,4.38,268.2,271.65,265.0,271.65,V3_STRICT_5M_SCORE,FMCG
SUNPHARMA,2026-08-21,2026-08-24,NEUTRAL,80.0,80.0,1.53,0.399,0.0,0.86,0.231,0,31.87,1902.4,1923.0,1892.6,1910.0,V3_STRICT_5M_SCORE,PHARMA
TATASTEEL,2026-08-21,2026-08-24,NEUTRAL,80.0,80.0,1.717,1.168,0.628,0.78,0.192,0,3.66,184.15,186.3,183.06,186.3,V3_STRICT_5M_SCORE,METAL
