scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,naive_baseline_fired,data_source_flags,gate_oversold,gate_hammer_candle,gate_vol_surge
REVERSAL,3MINDIA,2019-07-26 15:30:00 IST,BEAR,2019-07-26 09:15:00 IST,20903.4,20204.98,21951.03,22300.24,22649.45,22998.66,2019-08-05 15:30:00 IST,20204.98,STOP_LOSS,-1.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,3MINDIA,2022-03-16 15:30:00 IST,BEAR,2022-03-16 09:15:00 IST,19679.15,18714.7,21125.83,21608.06,22090.29,22572.52,2022-03-28 15:30:00 IST,19680.35,TIME_EXPIRY,0.0012,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,3MINDIA,2022-05-02 15:30:00 IST,BEAR,2022-05-02 09:15:00 IST,19831.1,18918.07,21200.65,21657.16,22113.68,22570.19,2022-05-03 15:30:00 IST,18918.07,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,3MINDIA,2025-01-22 15:30:00 IST,BEAR,2025-01-22 09:15:00 IST,29020.75,27635.92,31098.0,31790.41,32482.82,33175.24,2025-02-03 15:30:00 IST,29899.9,TIME_EXPIRY,0.6348,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AADHARHFC,2025-11-24 15:30:00 IST,BEAR,2025-11-24 09:15:00 IST,485.2,469.08,509.38,517.44,525.5,533.56,2025-12-04 15:30:00 IST,481.35,TIME_EXPIRY,-0.2388,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AADHARHFC,2025-12-02 15:30:00 IST,BEAR,2025-12-02 09:15:00 IST,485.05,469.54,508.31,516.06,523.82,531.57,2025-12-12 15:30:00 IST,488.9,TIME_EXPIRY,0.2483,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AARTIDRUGS,2017-11-13 15:30:00 IST,BEAR,2017-11-13 09:15:00 IST,131.95,126.14,140.66,143.56,146.46,149.36,2017-11-23 15:30:00 IST,133.8,TIME_EXPIRY,0.3187,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AAVAS,2023-10-26 15:30:00 IST,BEAR,2023-10-26 09:15:00 IST,1558.1,1482.66,1671.26,1708.98,1746.71,1784.43,2023-10-30 15:30:00 IST,1482.66,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ABCAPITAL,2023-08-31 15:30:00 IST,BEAR,2023-08-31 09:15:00 IST,181.15,174.32,191.4,194.82,198.23,201.65,2023-09-12 15:30:00 IST,180.8,TIME_EXPIRY,-0.0512,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ABCAPITAL,2024-10-29 15:30:00 IST,BEAR,2024-10-29 09:15:00 IST,204.51,193.62,220.84,226.29,231.74,237.18,2024-11-08 15:30:00 IST,201.11,TIME_EXPIRY,-0.3122,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ADANIPORTS,2020-02-26 15:30:00 IST,BEAR,2020-02-26 09:15:00 IST,358.4,345.16,378.26,384.87,391.49,398.11,2020-02-28 15:30:00 IST,345.16,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ADANIPORTS,2026-03-20 15:30:00 IST,BEAR,2026-03-20 09:15:00 IST,1365.4,1294.81,1471.28,1506.58,1541.88,1577.17,2026-03-23 15:30:00 IST,1294.81,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ADFFOODS,2022-07-26 15:30:00 IST,BEAR,2022-07-26 09:15:00 IST,140.55,134.9,149.02,151.85,154.67,157.49,2022-08-04 15:30:00 IST,151.85,TARGET,2.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AETHER,2022-11-14 15:30:00 IST,BEAR,2022-11-14 09:15:00 IST,882.35,833.43,955.73,980.2,1004.66,1029.12,2022-11-18 15:30:00 IST,980.2,TARGET,2.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AETHER,2025-05-13 15:30:00 IST,BEAR,2025-05-13 09:15:00 IST,765.75,716.19,840.08,864.86,889.64,914.42,2025-05-23 15:30:00 IST,747.2,TIME_EXPIRY,-0.3743,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AIAENG,2023-04-28 15:30:00 IST,BEAR,2023-04-28 09:15:00 IST,2718.75,2599.29,2897.95,2957.68,3017.41,3077.14,2023-05-10 15:30:00 IST,2721.35,TIME_EXPIRY,0.0218,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AIAENG,2025-09-09 15:30:00 IST,BEAR,2025-09-09 09:15:00 IST,3033.3,2935.28,3180.33,3229.34,3278.34,3327.35,2025-09-19 15:30:00 IST,3074.9,TIME_EXPIRY,0.4244,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AIIL,2025-11-11 15:30:00 IST,BEAR,2025-11-11 09:15:00 IST,547.9,518.9,591.39,605.89,620.39,634.88,2025-11-21 15:30:00 IST,534.3,TIME_EXPIRY,-0.469,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AJANTPHARM,2017-05-03 15:30:00 IST,BEAR,2017-05-03 09:15:00 IST,1106.45,1065.67,1167.62,1188.01,1208.39,1228.78,2017-05-08 15:30:00 IST,1065.67,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ALKEM,2026-03-20 15:30:00 IST,BEAR,2026-03-20 09:15:00 IST,5257.5,5061.45,5551.58,5649.6,5747.62,5845.65,2026-04-02 15:30:00 IST,5236.5,TIME_EXPIRY,-0.1071,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AMRUTANJAN,2022-09-09 15:30:00 IST,BEAR,2022-09-09 09:15:00 IST,732.2,701.78,777.83,793.04,808.25,823.46,2022-09-21 15:30:00 IST,724.2,TIME_EXPIRY,-0.263,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AMRUTANJAN,2025-10-14 15:30:00 IST,BEAR,2025-10-14 09:15:00 IST,707.35,682.5,744.63,757.06,769.49,781.92,2025-10-24 15:30:00 IST,720.1,TIME_EXPIRY,0.513,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AMRUTANJAN,2026-01-20 15:30:00 IST,BEAR,2026-01-20 09:15:00 IST,605.4,582.48,639.77,651.23,662.69,674.15,2026-01-27 15:30:00 IST,582.48,STOP_LOSS,-1.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ANTELOPUS,2019-08-23 15:30:00 IST,BEAR,2019-08-23 09:15:00 IST,135.4,126.81,148.29,152.58,156.88,161.17,2019-09-04 15:30:00 IST,133.0,TIME_EXPIRY,-0.2794,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,APOLLO,2025-10-17 15:30:00 IST,BULL,2025-10-17 09:15:00 IST,293.65,271.73,326.53,337.5,348.46,359.42,2025-10-29 15:30:00 IST,281.35,TIME_EXPIRY,-0.5611,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,APOLLOTYRE,2018-01-30 15:30:00 IST,BEAR,2018-01-30 09:15:00 IST,258.45,246.04,277.06,283.26,289.46,295.66,2018-02-02 15:30:00 IST,246.04,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ARIHANTSUP,2026-02-02 15:30:00 IST,BEAR,2026-02-02 09:15:00 IST,268.75,250.88,295.55,304.49,313.42,322.36,2026-02-03 15:30:00 IST,304.49,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ARVINDFASN,2026-02-27 15:30:00 IST,BEAR,2026-02-27 09:15:00 IST,440.2,416.2,476.19,488.19,500.19,512.19,2026-03-06 15:30:00 IST,416.2,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ASAHIINDIA,2023-01-27 15:30:00 IST,BEAR,2023-01-27 09:15:00 IST,490.45,470.71,520.05,529.92,539.79,549.66,2023-01-30 15:30:00 IST,470.71,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ASALCBR,2022-02-24 15:30:00 IST,BEAR,2022-02-24 09:15:00 IST,422.2,392.92,466.12,480.76,495.4,510.04,2022-03-08 15:30:00 IST,465.3,TIME_EXPIRY,1.472,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ASHAPURMIN,2025-03-05 15:30:00 IST,BEAR,2025-03-05 09:15:00 IST,328.7,291.17,384.99,403.75,422.52,441.28,2025-03-17 15:30:00 IST,328.75,TIME_EXPIRY,0.0013,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ASHOKLEY,2024-10-09 15:30:00 IST,BEAR,2024-10-09 09:15:00 IST,110.9,106.34,117.73,120.01,122.29,124.57,2024-10-21 15:30:00 IST,108.9,TIME_EXPIRY,-0.439,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ASTERDM,2021-02-15 15:30:00 IST,BEAR,2021-02-15 09:15:00 IST,150.35,141.69,163.34,167.67,172.0,176.33,2021-02-25 15:30:00 IST,149.35,TIME_EXPIRY,-0.1155,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ATUL,2019-08-05 15:30:00 IST,BEAR,2019-08-05 09:15:00 IST,3595.45,3434.32,3837.15,3917.72,3998.28,4078.85,2019-08-15 15:30:00 IST,3599.8,TIME_EXPIRY,0.027,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ATULAUTO,2023-12-21 15:30:00 IST,BEAR,2023-12-21 09:15:00 IST,570.6,543.2,611.7,625.4,639.09,652.79,2024-01-02 15:30:00 IST,565.55,TIME_EXPIRY,-0.1843,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AUBANK,2019-03-26 15:30:00 IST,BEAR,2019-03-26 09:15:00 IST,278.1,263.43,300.1,307.44,314.78,322.11,2019-04-03 15:30:00 IST,307.44,TARGET,2.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AUROPHARMA,2018-01-19 15:30:00 IST,BEAR,2018-01-19 09:15:00 IST,643.2,620.8,676.8,688.0,699.21,710.41,2018-01-31 15:30:00 IST,620.8,STOP_LOSS,-1.0,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AUTOAXLES,2020-02-17 15:30:00 IST,BEAR,2020-02-17 09:15:00 IST,765.4,716.05,839.42,864.1,888.78,913.45,2020-02-25 15:30:00 IST,716.05,STOP_LOSS,-1.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AUTOAXLES,2026-05-18 15:30:00 IST,BEAR,2026-05-18 09:15:00 IST,1677.7,1584.83,1817.01,1863.45,1909.88,1956.32,2026-05-29 15:30:00 IST,1730.6,TIME_EXPIRY,0.5696,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,AXISBANK,2024-01-17 15:30:00 IST,BULL,2024-01-17 09:15:00 IST,1082.3,1051.77,1128.09,1143.36,1158.62,1173.89,2024-01-24 15:30:00 IST,1051.77,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BAJAJHLDNG,2016-12-28 15:30:00 IST,BEAR,2016-12-28 09:15:00 IST,1767.85,1681.01,1898.11,1941.54,1984.96,2028.38,2017-01-09 15:30:00 IST,1903.85,TIME_EXPIRY,1.5661,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BAJAJHLDNG,2020-10-13 15:30:00 IST,BEAR,2020-10-13 09:15:00 IST,2400.3,2286.51,2570.99,2627.89,2684.78,2741.68,2020-10-23 15:30:00 IST,2286.51,STOP_LOSS,-1.0,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BAJFINANCE,2019-12-03 15:30:00 IST,BEAR,2019-12-03 09:15:00 IST,396.5,384.5,414.5,420.5,426.5,432.5,2019-12-13 15:30:00 IST,407.0,TIME_EXPIRY,0.875,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BAJFINANCE,2022-03-08 15:30:00 IST,BEAR,2022-03-08 09:15:00 IST,616.0,579.74,670.39,688.52,706.66,724.79,2022-03-16 15:30:00 IST,688.52,TARGET,2.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BAJFINANCE,2022-06-14 15:30:00 IST,BEAR,2022-06-14 09:15:00 IST,537.5,511.4,576.65,589.7,602.75,615.8,2022-06-24 15:30:00 IST,559.0,TIME_EXPIRY,0.8238,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BALKRISIND,2022-02-17 15:30:00 IST,BEAR,2022-02-17 09:15:00 IST,2005.7,1874.55,2202.42,2268.0,2333.57,2399.15,2022-02-22 15:30:00 IST,1874.55,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BANARISUG,2024-05-24 15:30:00 IST,BEAR,2024-05-24 09:15:00 IST,2431.55,2308.71,2615.81,2677.23,2738.65,2800.07,2024-05-31 15:30:00 IST,2308.71,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BANSALWIRE,2025-09-01 15:30:00 IST,BEAR,2025-09-01 09:15:00 IST,360.4,344.79,383.81,391.62,399.42,407.22,2025-09-11 15:30:00 IST,356.7,TIME_EXPIRY,-0.2371,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BANSALWIRE,2026-01-09 15:30:00 IST,BEAR,2026-01-09 09:15:00 IST,301.9,290.27,319.34,325.16,330.97,336.79,2026-01-19 15:30:00 IST,290.27,STOP_LOSS,-1.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BATAINDIA,2022-02-09 15:30:00 IST,BEAR,2022-02-09 09:15:00 IST,1895.4,1777.36,2072.46,2131.48,2190.5,2249.52,2022-02-21 15:30:00 IST,1888.3,TIME_EXPIRY,-0.0601,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BAYERCROP,2023-03-29 15:30:00 IST,BEAR,2023-03-29 09:15:00 IST,3996.8,3885.65,4163.52,4219.1,4274.67,4330.25,2023-04-10 15:30:00 IST,4115.25,TIME_EXPIRY,1.0657,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BBTC,2021-02-19 15:30:00 IST,BEAR,2021-02-19 09:15:00 IST,1192.25,1145.34,1262.61,1286.07,1309.52,1332.98,2021-03-03 15:30:00 IST,1215.75,TIME_EXPIRY,0.501,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BERGEPAINT,2022-02-25 15:30:00 IST,BEAR,2022-02-25 09:15:00 IST,571.4,547.37,607.44,619.46,631.47,643.49,2022-02-28 15:30:00 IST,547.37,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BHARATFORG,2020-03-24 15:30:00 IST,BEAR,2020-03-24 09:15:00 IST,245.15,200.15,312.65,335.15,357.65,380.15,2020-04-03 15:30:00 IST,218.5,TIME_EXPIRY,-0.5922,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BHARTIARTL,2018-07-06 15:30:00 IST,BEAR,2018-07-06 09:15:00 IST,355.55,340.99,377.39,384.66,391.94,399.22,2018-07-16 15:30:00 IST,340.99,STOP_LOSS,-1.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BHARTIARTL,2020-08-13 15:30:00 IST,BEAR,2020-08-13 09:15:00 IST,525.5,504.01,557.74,568.48,579.23,589.97,2020-08-24 15:30:00 IST,504.01,STOP_LOSS,-1.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BHARTIARTL,2026-03-12 15:30:00 IST,BEAR,2026-03-12 09:15:00 IST,1801.3,1738.11,1896.08,1927.68,1959.27,1990.86,2026-03-24 15:30:00 IST,1802.1,TIME_EXPIRY,0.0127,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BLUEDART,2018-03-15 15:30:00 IST,BEAR,2018-03-15 09:15:00 IST,4158.1,4013.63,4374.8,4447.04,4519.27,4591.51,2018-03-16 15:30:00 IST,4013.63,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BORORENEW,2019-06-18 15:30:00 IST,BEAR,2019-06-18 09:15:00 IST,58.6,54.75,64.37,66.3,68.22,70.14,2019-06-28 15:30:00 IST,57.3,TIME_EXPIRY,-0.3379,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,BSE,2026-08-18 15:30:00 IST,BEAR,2026-08-18 09:15:00 IST,3308.0,3155.86,3536.22,3612.29,3688.36,3764.44,2026-08-28 15:30:00 IST,3405.0,TIME_EXPIRY,0.6375,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CAPLIPOINT,2022-12-23 15:30:00 IST,BEAR,2022-12-23 09:15:00 IST,706.4,677.19,750.22,764.82,779.43,794.04,2023-01-04 15:30:00 IST,745.75,TIME_EXPIRY,1.347,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CARERATING,2019-08-05 15:30:00 IST,BEAR,2019-08-05 09:15:00 IST,491.1,425.15,590.03,623.0,655.98,688.95,2019-08-15 15:30:00 IST,590.9,TIME_EXPIRY,1.5132,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CARERATING,2021-03-09 15:30:00 IST,BEAR,2021-03-09 09:15:00 IST,460.4,440.98,489.54,499.25,508.96,518.67,2021-03-16 15:30:00 IST,440.98,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CARERATING,2023-12-21 15:30:00 IST,BEAR,2023-12-21 09:15:00 IST,911.9,871.33,972.75,993.04,1013.32,1033.6,2023-12-26 15:30:00 IST,993.04,TARGET,2.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CARTRADE,2022-08-19 15:30:00 IST,BEAR,2022-08-19 09:15:00 IST,633.75,599.39,685.29,702.46,719.64,736.82,2022-08-22 15:30:00 IST,599.39,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CASTROLIND,2020-07-28 15:30:00 IST,BEAR,2020-07-28 09:15:00 IST,112.95,108.08,120.25,122.68,125.12,127.55,2020-08-07 15:30:00 IST,122.68,TARGET,2.0,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CCL,2021-03-01 15:30:00 IST,BEAR,2021-03-01 09:15:00 IST,231.5,219.35,249.72,255.79,261.87,267.94,2021-03-04 15:30:00 IST,255.79,TARGET,2.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CEIGALL,2024-11-06 15:30:00 IST,BEAR,2024-11-06 09:15:00 IST,341.5,323.05,369.18,378.4,387.62,396.85,2024-11-08 15:30:00 IST,323.05,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CEIGALL,2024-11-14 15:30:00 IST,BEAR,2024-11-14 09:15:00 IST,304.95,284.49,335.64,345.87,356.1,366.33,2024-11-26 15:30:00 IST,338.2,TIME_EXPIRY,1.6251,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CERA,2023-12-21 15:30:00 IST,BEAR,2023-12-21 09:15:00 IST,8097.75,7851.18,8467.6,8590.88,8714.17,8837.45,2023-12-28 15:30:00 IST,7851.18,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CHAMBLFERT,2025-11-11 15:30:00 IST,BEAR,2025-11-11 09:15:00 IST,464.0,449.05,486.43,493.9,501.38,508.85,2025-11-21 15:30:00 IST,459.15,TIME_EXPIRY,-0.3244,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CHOLAFIN,2023-08-02 15:30:00 IST,BEAR,2023-08-02 09:15:00 IST,1099.4,1051.74,1170.89,1194.73,1218.56,1242.39,2023-08-03 15:30:00 IST,1051.74,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CHOLAFIN,2023-08-10 15:30:00 IST,BEAR,2023-08-10 09:15:00 IST,1060.25,1016.76,1125.48,1147.22,1168.96,1190.7,2023-08-15 15:30:00 IST,1016.76,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CIPLA,2020-01-23 15:30:00 IST,BEAR,2020-01-23 09:15:00 IST,465.15,452.51,484.11,490.43,496.75,503.07,2020-01-30 15:30:00 IST,452.51,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CLEAN,2023-08-02 15:30:00 IST,BEAR,2023-08-02 09:15:00 IST,1306.5,1264.92,1368.86,1389.65,1410.44,1431.23,2023-08-08 15:30:00 IST,1389.65,TARGET,2.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CLEAN,2025-08-21 15:30:00 IST,BEAR,2025-08-21 09:15:00 IST,1149.0,1084.63,1245.56,1277.75,1309.93,1342.12,2025-09-02 15:30:00 IST,1174.0,TIME_EXPIRY,0.3884,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,COALINDIA,2019-07-26 15:30:00 IST,BEAR,2019-07-26 09:15:00 IST,195.4,185.49,210.27,215.22,220.18,225.13,2019-07-30 15:30:00 IST,185.49,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,COALINDIA,2026-05-26 15:30:00 IST,BULL,2026-05-26 09:15:00 IST,458.15,439.3,486.42,495.84,505.27,514.69,2026-05-28 15:30:00 IST,439.3,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,COFORGE,2026-02-13 15:30:00 IST,BEAR,2026-02-13 09:15:00 IST,1361.8,1266.63,1504.55,1552.14,1599.72,1647.3,2026-02-24 15:30:00 IST,1266.63,STOP_LOSS,-1.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CONCOR,2025-11-11 15:30:00 IST,BEAR,2025-11-11 09:15:00 IST,522.9,509.29,543.31,550.12,556.92,563.73,2025-11-21 15:30:00 IST,511.2,TIME_EXPIRY,-0.8597,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CONCORDBIO,2025-02-17 15:30:00 IST,BEAR,2025-02-17 09:15:00 IST,1682.4,1488.21,1973.68,2070.78,2167.88,2264.97,2025-02-27 15:30:00 IST,1488.21,STOP_LOSS,-1.0,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,COSMOFIRST,2025-11-27 15:30:00 IST,BEAR,2025-11-27 09:15:00 IST,711.1,665.63,779.3,802.04,824.77,847.51,2025-12-08 15:30:00 IST,665.63,STOP_LOSS,-1.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CRISIL,2018-10-05 15:30:00 IST,BEAR,2018-10-05 09:15:00 IST,1626.1,1564.0,1719.26,1750.31,1781.36,1812.41,2018-10-16 15:30:00 IST,1564.0,STOP_LOSS,-1.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CUB,2022-02-17 15:30:00 IST,BEAR,2022-02-17 09:15:00 IST,98.85,94.35,105.61,107.86,110.11,112.36,2022-02-22 15:30:00 IST,94.35,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,CUMMINSIND,2018-06-04 15:30:00 IST,BEAR,2018-06-04 09:15:00 IST,682.25,648.26,733.24,750.24,767.23,784.23,2018-06-14 15:30:00 IST,688.9,TIME_EXPIRY,0.1956,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,DABUR,2023-10-20 15:30:00 IST,BEAR,2023-10-20 09:15:00 IST,524.8,513.09,542.37,548.22,554.08,559.93,2023-10-25 15:30:00 IST,513.09,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,DCMSHRIRAM,2023-03-29 15:30:00 IST,BEAR,2023-03-29 09:15:00 IST,751.35,716.17,804.12,821.72,839.31,856.9,2023-04-05 15:30:00 IST,821.72,TARGET,2.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,DEEPAKFERT,2023-03-21 15:30:00 IST,BEAR,2023-03-21 09:15:00 IST,559.0,528.65,604.53,619.7,634.88,650.06,2023-03-27 15:30:00 IST,528.65,STOP_LOSS,-1.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,DHANUKA,2019-05-02 15:30:00 IST,BEAR,2019-05-02 09:15:00 IST,376.7,362.42,398.12,405.26,412.4,419.54,2019-05-09 15:30:00 IST,362.42,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,DIVISLAB,2019-08-14 15:30:00 IST,BEAR,2019-08-14 09:15:00 IST,1531.9,1457.16,1644.02,1681.39,1718.76,1756.14,2019-08-26 15:30:00 IST,1593.55,TIME_EXPIRY,0.8248,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,DSSL,2023-03-29 15:30:00 IST,BEAR,2023-03-29 09:15:00 IST,298.15,272.15,337.15,350.16,363.16,376.16,2023-04-04 15:30:00 IST,350.16,TARGET,2.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,EDELWEISS,2020-02-17 15:30:00 IST,BEAR,2020-02-17 09:15:00 IST,57.5,52.21,65.43,68.08,70.72,73.36,2020-02-24 15:30:00 IST,68.08,TARGET,2.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,EDELWEISS,2024-02-05 15:30:00 IST,BEAR,2024-02-05 09:15:00 IST,68.6,64.72,74.42,76.36,78.3,80.24,2024-02-15 15:30:00 IST,72.75,TIME_EXPIRY,1.0692,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
